id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
35464414,駅から徒歩8分､成田空港と羽田空港に直行ﾊﾞｽがあります｡飲食および買い物に位置することは非常に便利｡,260261342,民泊,Hachioji Shi,35.65115,139.34282,Private room,5918,1,0,,,1,140
35466541,4F/Cozy room Japanese style in Kagurazaka/Shinjuku,61330265,Nagisa,Shinjuku Ku,35.70622,139.7304,Entire home/apt,30021,1,1,2019-06-20,1,3,151
35466834,5F/Deluxe theater room in Kagurazaka/shinjuku,61330265,Nagisa,Shinjuku Ku,35.70587,139.73154,Entire home/apt,30021,1,1,2019-06-25,1,3,151
35467449,"TA32秋叶原公寓!JR山手线地铁便于出行!便利店超市餐厅满载!wifi环境充实,干净阳光好的小屋",223295066,Tian,Taito Ku,35.70384,139.77785,Entire home/apt,7962,1,0,,,11,25
35467888,景观街旅游景区,232298663,美玲,Sumida Ku,35.7046,139.81079,Entire home/apt,9039,2,0,,,2,238
35469585,板橋駅￫池袋駅 4分,239517747,大庭高平,Toshima Ku,35.74113,139.71898,Private room,3981,2,0,,,4,90
35469999,池袋 日式獨棟新屋 走路5分鐘,212406967,Sharon,Toshima Ku,35.72647,139.71181,Entire home/apt,44977,3,0,,,2,347
35470722,"Sharehouse* JR Line walk 1 mins, Free wifi #1",266877104,宿,Katsushika Ku,35.71823,139.86112,Entire home/apt,3981,1,0,,,2,73
35471263,【ｵｰﾌﾟﾆﾝｸﾞｾｰﾙ♪】2階!浅草駅から徒歩7分!旅行に最適な場所!,265908299,Masahiro,Taito Ku,35.71509,139.79351,Entire home/apt,8500,1,1,2019-06-25,1,5,22
35471413,【ｵｰﾌﾟﾆﾝｸﾞｾｰﾙ♪】追加料金なし!2階!浅草駅徒歩7分!,265908299,Masahiro,Taito Ku,35.71533,139.79407,Entire home/apt,8500,1,0,,,5,203
35472254,NewOpenTheWhiteVilla~SHINJUKU W HOUSE~5min to sta.,62389310,Arisa,Shinjuku Ku,35.69761,139.68928,Entire home/apt,10975,2,0,,,7,263
35472303,"Takao Asile Villa, 8mn from Takaosanguchi sta.",73463626,Hara,Hachioji Shi,35.61655,139.25853,Entire home/apt,899977,1,0,,,57,153
35473144,"Near Skytree, Asakusa/  Station 3 mins walk /☆3DK",216544001,Anna,Sumida Ku,35.72028,139.81451,Entire home/apt,23995,1,0,,,11,363
35473470,"Near Skytree, Asakusa/  Station 3 mins walk /☆3DK",226182927,Anna,Sumida Ku,35.72097,139.81472,Entire home/apt,19799,1,0,,,11,365
35474824,"#3AKIHABARA Music Party Apt 8 guests, pocket Wi-Fi",217214265,Tokyo B&B,Taito Ku,35.70452,139.77899,Entire home/apt,15925,1,0,,,10,172
35475574,"【NEW】BIKE & BED EAST TOKYO,4story private building",228335576,Ted,Adachi Ku,35.75705,139.7592,Entire home/apt,21951,1,3,2019-06-16,3,3,123
35476567,NEST HATAGAYA #2: Stylish Apt 4min from Sta.,918551,Ryo,Shibuya Ku,35.6777,139.67971,Entire home/apt,13020,1,1,2019-06-16,1,3,316
35476622,"TSA21秋叶原公寓!JR山手线地铁便于出行!便利店超市餐厅满载!wifi环境充实,干净阳光好的小屋",223295066,Tian,Taito Ku,35.70237,139.77747,Entire home/apt,6994,1,0,,,11,18
35477255,Pebliss 翼･壱 羽田空港から8分 京急蒲田駅徒歩2分 容量無制限高速Wi-Fi完備,218190604,Fukuda,Ota Ku,35.56303,139.72466,Entire home/apt,21951,2,0,,,10,177
35478045,NearSta.3mins/ComfyRoom/Best Location_2T11,57988982,Takuma,Toshima Ku,35.73097,139.72605,Entire home/apt,11836,2,1,2019-06-20,1,10,144
35478188,skytree view/4min walk to Kinshicho sta./free WIFI,81605474,Takako,Koto Ku,35.69843,139.82116,Entire home/apt,19045,2,3,2019-06-25,3,1,307
35478330,★浅草ｸﾞﾗﾝﾄﾞｵｰﾌﾟﾝ★竹乃宿 浅草寺まで徒歩3分/無料WiFi完備 /最寄駅浅草駅/人力車,263357887,川又,Taito Ku,35.71142,139.79327,Private room,14957,1,1,2019-06-16,1,9,90
35478805,NEW｢SHINJUKU apa｣ 5mins､WIFI､下北沢station,25285263,Shiki,Setagaya Ku,35.65863,139.66901,Entire home/apt,7747,1,0,,,1,98
35482779,ｵｰﾌﾟﾝ価格★竹乃宿 駅ﾁｶ徒歩3分/無料WiFi完備 /,263357887,川又,Taito Ku,35.71142,139.79327,Private room,12051,1,0,,,9,91
35483068,ｵｰﾌﾟﾝ価格★竹乃宿 浅草寺･雷門/無料WiFi完備 /最寄駅浅草駅/花やしき,263357887,川又,Taito Ku,35.71142,139.79327,Private room,12051,1,0,,,9,71
35483403,￬初回限定料金￬★竹乃宿 浅草寺まで徒歩3分/無料WiFi完備 /最寄駅浅草駅/ﾎｯﾋﾟｰ通り,263357887,川又,Taito Ku,35.71142,139.79327,Private room,7962,1,0,,,9,89
35483846,NEWOPEN★限定価格★竹乃宿 浅草寺まで徒歩3分/無料WiFi完備 /最寄駅浅草駅/人力車,263357887,川又,Taito Ku,35.71142,139.79327,Private room,6994,1,1,2019-06-10,1,9,65
35484516,Tokyo Asakusa New Open★Takenoyado Hotel★,263357887,川又,Taito Ku,35.71142,139.79327,Private room,7962,1,1,2019-06-10,1,9,91
35484810,Senso-ji Temple 3 min walk! Asakusa Sta !,263357887,川又,Taito Ku,35.71142,139.79327,Private room,6994,1,3,2019-06-23,3,9,84
35485256,"@1[SHINJUKU 5mins]  Hotel SHU , 2guests ,wifi,",152271580,Tokyo B&B.Co.Jp,Shinjuku Ku,35.69043,139.71405,Entire home/apt,12051,1,0,,,19,202
35485572,"Easy Access Nippori/Ueno 2AS""YB House""",26341212,Tombo,Arakawa Ku,35.73779,139.78641,Private room,3551,1,0,,,11,10
35485603,"@2[SHINJUKU 5mins]  Hotel SHU , 2guests ,wifi,",152271580,Tokyo B&B.Co.Jp,Shinjuku Ku,35.69133,139.71405,Entire home/apt,12051,1,0,,,19,198
35485758,"@3[SHINJUKU 5mins]  Hotel SHU , 2guests ,wifi,",152271580,Tokyo B&B.Co.Jp,Shinjuku Ku,35.69084,139.71436,Entire home/apt,12051,1,0,,,19,196
35485887,"@4[SHINJUKU 5mins]  Hotel SHU , 2guests ,wifi,",152271580,Tokyo B&B.Co.Jp,Shinjuku Ku,35.69061,139.71394,Entire home/apt,12051,1,0,,,19,198
35485994,"@5[SHINJUKU 5mins]  Hotel SHU , 2guests ,wifi,",152271580,Tokyo B&B.Co.Jp,Shinjuku Ku,35.69192,139.714,Entire home/apt,12051,1,0,,,19,193
35486195,"@6[SHINJUKU 5mins]  Hotel SHU , 2guests ,wifi,",152271580,Tokyo B&B.Co.Jp,Shinjuku Ku,35.69241,139.71316,Entire home/apt,12051,1,0,,,19,198
35486347,"@7[SHINJUKU 5mins]  Hotel SHU , 2guests ,wifi,",152271580,Tokyo B&B.Co.Jp,Shinjuku Ku,35.69116,139.71395,Entire home/apt,12051,1,0,,,19,193
35486485,"@8[SHINJUKU 5mins]  Hotel SHU , 2guests ,wifi,",152271580,Tokyo B&B.Co.Jp,Shinjuku Ku,35.69218,139.71275,Entire home/apt,12051,1,0,,,19,201
35486689,"Easy access Nippori/Ueno 1LS""YB House""",26341212,Tombo,Arakawa Ku,35.73452,139.78325,Private room,3228,1,0,,,11,4
35487158,"Easy access Nippori/Ueno 1BS""YB House""",26341212,Tombo,Arakawa Ku,35.735,139.78279,Private room,3228,1,0,,,11,2
35487846,"@9[SHINJUKU 5mins]  Hotel SHU , 2guests ,wifi,",152271580,Tokyo B&B.Co.Jp,Shinjuku Ku,35.69133,139.71394,Entire home/apt,12051,1,0,,,19,200
35487952,"@10[SHINJUKU 5mins]  Hotel SHU , 2guests ,wifi,",152271580,Tokyo B&B.Co.Jp,Shinjuku Ku,35.69048,139.7142,Entire home/apt,12051,1,0,,,19,196
35488031,"@11[SHINJUKU 5mins]  Hotel SHU , 2guests ,wifi,",152271580,Tokyo B&B.Co.Jp,Shinjuku Ku,35.69073,139.71277,Entire home/apt,12051,1,0,,,19,201
35488127,"@12[SHINJUKU 5mins]  Hotel SHU , 2guests ,wifi,",152271580,Tokyo B&B.Co.Jp,Shinjuku Ku,35.69124,139.7127,Entire home/apt,12051,1,0,,,19,194
35488218,"@13[SHINJUKU 5mins]  Hotel SHU , 2guests ,wifi,",152271580,Tokyo B&B.Co.Jp,Shinjuku Ku,35.69112,139.71421,Entire home/apt,12051,1,0,,,19,189
35488341,"@14[SHINJUKU 5mins]  Hotel SHU , 2guests ,wifi,",152271580,Tokyo B&B.Co.Jp,Shinjuku Ku,35.69125,139.71383,Entire home/apt,12051,1,0,,,19,198
35488502,"@15[SHINJUKU 5mins]  Hotel SHU , 2guests ,wifi,701",152271580,Tokyo B&B.Co.Jp,Shinjuku Ku,35.6918,139.71308,Entire home/apt,12051,1,0,,,19,201
35488593,"@16[SHINJUKU 5mins]  Hotel SHU , 2guests ,wifi,",152271580,Tokyo B&B.Co.Jp,Shinjuku Ku,35.69106,139.7137,Entire home/apt,12051,1,0,,,19,192
35488738,"@17[SHINJUKU 5mins]  Hotel SHU , 2guests ,wifi,",152271580,Tokyo B&B.Co.Jp,Shinjuku Ku,35.69269,139.7125,Entire home/apt,12051,1,0,,,19,203
35488873,"@18[SHINJUKU 5mins]  Hotel SHU , 2guests ,wifi,",152271580,Tokyo B&B.Co.Jp,Shinjuku Ku,35.69098,139.7126,Entire home/apt,12051,1,0,,,19,192
